Parameter Distribution {'loss': ['deviance', 'exponential'], 'learning_rate': [0.1, 0.01, 0.001], 'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300, 400, 500, 600], 'min_samples_leaf': [1, 2, 4], 'min_samples_split': [2, 5, 10]}
0.698119 (0.003480) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.003480, score rank of 40,
0.710234 (0.002885) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002885, score rank of 9,
0.000000 (0.000000) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
0.679996 (0.003059) with: {'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.003059, score rank of 63,
0.000000 (0.000000) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
0.704370 (0.004745) with: {'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.004745, score rank of 29,
0.674360 (0.009149) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.009149, score rank of 71,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
0.687715 (0.006027) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.006027, score rank of 50,
0.706563 (0.004623) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.004623, score rank of 28,
0.679264 (0.004326) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.004326, score rank of 68,
0.708412 (0.004031) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.004031, score rank of 22,
0.710343 (0.003229) with: {'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.003229, score rank of 6,
0.700391 (0.004314) with: {'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.004314, score rank of 38,
0.695667 (0.004862) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.004862, score rank of 46,
0.694678 (0.003634) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.003634, score rank of 48,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
0.670568 (0.006077) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.006077, score rank of 77,
0.687584 (0.006186) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.006186, score rank of 52,
0.658412 (0.010620) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.010620, score rank of 81,
0.670568 (0.006077) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.006077, score rank of 77,
0.702448 (0.004864) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.004864, score rank of 35,
