id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26354615,Perfect for families,58261769,Trine,,sterbro,55.70837,12.57778,Entire home/apt,996,4,6,2018-09-23,0.30,1,0
26354884,Bright and classic apartment by beach and city,17288186,Rasmus,,Amager st,55.65465,12.61065,Entire home/apt,798,3,5,2019-08-17,0.25,1,0
26356470,Center - Close To The Queen - The Marble Church - Frederiksgade - 2 People - 1 Bedroom (1290-1),187610263,ApartmentinCopenhagen,,Indre By,55.68521,12.58961,Entire home/apt,1270,1,1,2019-09-27,0.19,296,76
26357504,Charmerende villalejlighed,198210593,Daniel,,Valby,55.64595,12.50271,Entire home/apt,901,1,3,2018-12-15,0.19,1,0
26359381,Unique and cozy apartment in Central CPH,197727128,Johan Julius,,Vesterbro-Kongens Enghave,55.66925,12.53638,Entire home/apt,894,5,1,2018-09-09,0.06,1,0
26373456,Spacious and light Copenhagener flat,30460165,Emilie,,Valby,55.65943,12.51967,Entire home/apt,641,2,2,2019-06-03,0.21,1,0
26373461,Bright Home with a View in the Heart of Copenhagen,131433654,Pil,,Frederiksberg,55.67505,12.5467,Entire home/apt,723,2,6,2019-01-01,0.31,1,0
26373792,Sunny penthouse with big balcony and 4 bedrooms,4620874,Stefan,,Bispebjerg,55.70256,12.53143,Entire home/apt,2234,5,1,2019-08-19,0.15,1,10
26377355,Bright apartment only 10 min. from CPH airport,75769921,Nanna,,Amager st,55.66087,12.62003,Entire home/apt,849,2,0,,,1,4
26378192,Fresh and cozy room in the heart of Copenhagen,132303012,Nejra,,Indre By,55.6822,12.57334,Private room,300,1,21,2018-09-27,1.03,1,0
26379038,Room in Copenhagen / *Sleep & Go CPH* / Room NR. 2,197980506,Nh,,Vanlse,55.69785,12.46934,Private room,1249,1,7,2019-11-27,0.37,9,0
26379966,"Spacious flat near parks, Tivoli and cozy cafés",3407448,Emma,,Vesterbro-Kongens Enghave,55.66798,12.5499,Entire home/apt,949,2,4,2019-07-31,0.51,1,0
26380385,Room in Copenhagen / *Sleep & Go CPH* / Room NR. 4,197980506,Nh,,Vanlse,55.69785,12.46934,Private room,502,1,1,2019-04-17,0.09,9,75
26380775,Room in Copenhagen / *Sleep & Go CPH* / Room NR. 3,197980506,Nh,,Vanlse,55.69785,12.46934,Private room,502,1,0,,,9,92
26380927,Charming 3-room apart. with sunny balcony,60328629,Sara,,Nrrebro,55.70092,12.55175,Entire home/apt,532,3,14,2019-12-28,0.71,1,0
26381006,Room in Copenhagen / *Sleep & Go CPH* / Room NR. 6,197980506,Nh,,Vanlse,55.69785,12.46934,Private room,498,1,3,2020-01-01,0.36,9,0
26382080,Nice apartment i Copenhagen NV,198383428,Andreas,,Bispebjerg,55.7033,12.52654,Entire home/apt,300,2,6,2018-08-04,0.30,1,0
26383435,Apartment in the heart of Copenhagen,198392732,Michele,,Vesterbro-Kongens Enghave,55.67012,12.55517,Private room,600,7,4,2018-07-28,0.20,1,0
26383786,Cozy apartment in Frederiksberg,90418304,Gorm,,Frederiksberg,55.68598,12.53149,Entire home/apt,600,6,2,2019-04-21,0.10,1,0
26384219,Ilses home,198393938,Ilse,,Valby,55.66914,12.50758,Entire home/apt,498,2,20,2018-09-26,1.00,1,0
26387323,Super bolige,78689272,Marija,,Brnshj-Husum,55.7238,12.48578,Entire home/apt,498,1,0,,,1,0
26387557,Complete flat/apartment in hip NV,9870437,Mikkel Thiva,,Bispebjerg,55.70988,12.53813,Entire home/apt,478,4,5,2019-07-24,0.25,1,0
26389492,Family friendly apartment in lovely Vesterbro,26996088,Caroline,,Vesterbro-Kongens Enghave,55.6703,12.54408,Entire home/apt,949,2,4,2019-07-22,0.20,1,0
26389869,"Nice room in a light, bright apartment with a view",12412323,Andrew,,Valby,55.65914,12.52237,Private room,252,3,7,2019-07-22,0.36,2,0
26390020,Lovely room in a bright and spacious apartment,40896040,Laura,,Valby,55.65954,12.52341,Private room,348,3,4,2018-10-07,0.23,1,0
26390437,"Cozy, modern penthouse near city center & metro",78543483,Marianne,,sterbro,55.69825,12.58233,Entire home/apt,1501,1,15,2020-02-23,3.60,1,13
26390557,Family friendly apartment in quiet neighbourhood,25054400,Anders Blædel Gottlieb,,sterbro,55.69963,12.58475,Entire home/apt,498,3,4,2019-07-26,0.20,1,0
26391656,Charming and brightly lit Scandinavian style flat,11073467,Claudia,,Indre By,55.69861,12.59087,Entire home/apt,1071,1,11,2018-09-17,0.54,1,0
26392136,Small penthouse near the beach,126116395,Andreas,,Amager st,55.65289,12.61738,Entire home/apt,849,4,7,2019-08-27,0.37,1,32
26392233,Bright apartment with a great location,198388405,Christian,,Nrrebro,55.69241,12.56009,Entire home/apt,1003,2,8,2019-07-21,0.44,1,0
26393108,Charming apartment close to the city center,67751298,Amalie,,Bispebjerg,55.7092,12.53701,Entire home/apt,648,4,4,2019-08-16,0.21,1,0
26393211,"Cozy, bright apartment in the heart of Nørrebro",14339579,Lasse,,Nrrebro,55.68887,12.54701,Entire home/apt,998,3,21,2019-11-24,1.05,1,11
26395278,5 beds   CENTRAL LOCATION  ! Hip and vibrant area,198205565,Morten,,Nrrebro,55.6889,12.55942,Entire home/apt,996,1,2,2018-08-08,0.10,4,0
26400352,Østerbro (Hildur),161804919,Bene EH,,Nrrebro,55.70654,12.55383,Entire home/apt,679,5,2,2019-10-23,0.11,47,54
26402199,Cozy apartment in green area of CPH North West,27538393,Nuca,,Bispebjerg,55.70624,12.5355,Entire home/apt,600,4,6,2018-08-20,0.30,1,0
26403605,1-room studentapartment in the heart of Copenhagen,198553864,Simone,,sterbro,55.71236,12.57784,Entire home/apt,333,3,36,2020-02-21,1.77,1,19
26404261,ROOM WANDERLUST close to metro st.,55497957,Oliver,,Vanlse,55.69133,12.4855,Private room,300,1,1,2018-12-02,0.07,1,0
26406473,Amazing apartment in the center of Copenhagen,13601053,Caroline,,Vesterbro-Kongens Enghave,55.66553,12.54493,Entire home/apt,853,3,3,2018-08-01,0.15,1,0
26406820,Cozy luxury apartment w balcony in heart of CPH,6524737,Elvira,,Indre By,55.68493,12.58812,Entire home/apt,903,1,59,2020-02-17,3.06,1,43
26407657,The Perfect Location: Copenhagen's 'Little Paris',15019387,Peter,,Vesterbro-Kongens Enghave,55.67415,12.55093,Entire home/apt,996,3,31,2019-04-28,1.62,1,0
26408452,AN APARTMENT IN A TRENDY & CENTRAL SPOT OF CPH.,5653454,Benedetto,,Vesterbro-Kongens Enghave,55.67101,12.54806,Entire home/apt,867,6,5,2019-10-06,0.61,1,0
26408972,Eco-friendly home - close to beach and downtown,5352937,Emilie,,Amager st,55.66651,12.62562,Entire home/apt,450,14,7,2019-07-17,0.36,1,0
26409639,Lys og lækker bolig på charmerende Frederiksberg,6958999,Sara,,Frederiksberg,55.67565,12.54139,Entire home/apt,751,3,2,2018-09-22,0.10,1,0
26413462,HUGE FLAT INSIDE A VILLA  6BR  BEST PLACE IN TOWN,2770598,Moriya,,sterbro,55.72253,12.57471,Private room,8902,2,1,2018-08-18,0.05,3,0
26415194,Eksklusivt byhus på det mondæne Frederiksberg,198624031,Andreas,,Frederiksberg,55.67795,12.53155,Entire home/apt,1003,2,0,,,1,0
26417304,Fiolstræde - On The Pedestrian Street - 6 Adults - 3 Bedrooms - Center (17-1),187610263,ApartmentinCopenhagen,,Indre By,55.6805,12.57328,Entire home/apt,1867,1,6,2019-08-28,0.31,296,142
26419472,Charming house close to beach and the city,6776179,Katrine,,Amager st,55.64884,12.6203,Entire home/apt,573,4,4,2019-04-20,0.21,1,0
26419902,"Near Christianshavn, Bryggen & center.",54083764,Camilla,,Amager Vest,55.66356,12.59843,Entire home/apt,382,2,2,2018-07-22,0.10,2,0
26420148,Cozy flat in popular & trendy neighborhood,16803292,Cecilie,,Nrrebro,55.69402,12.54399,Entire home/apt,998,6,4,2019-08-08,0.21,1,56
26420276,Lys og familievenlig lejlighed på Østerbro,197932125,Eirin,,sterbro,55.7129,12.55803,Entire home/apt,621,4,4,2019-07-12,0.20,1,0
26420551,3 v. lys lejlighed midt på vesterbro,198662481,Line,,Vesterbro-Kongens Enghave,55.67181,12.55982,Entire home/apt,1501,2,13,2020-02-15,0.88,1,2
26423318,Charmerende lejlighed med den bedste beliggenhed!,54467439,Mathilde,,Vesterbro-Kongens Enghave,55.66564,12.55505,Entire home/apt,901,3,10,2019-09-12,0.56,1,0
26423799,Very charming house at Frederiksberg,198684668,Pernille,,Frederiksberg,55.67993,12.50516,Entire home/apt,849,3,3,2019-07-13,0.18,1,156
26429210,Magnificent Flat in a Unique Part of Copenhagen!,198735888,Mikkel Borre Stig,,Bispebjerg,55.69891,12.53475,Entire home/apt,600,3,5,2018-08-29,0.26,1,0
26432464,Room in Copenhagen / *Sleep & Go CPH* / Room NR. 5,197980506,Nh,,Vanlse,55.69785,12.46934,Private room,502,1,4,2019-04-04,0.21,9,1
26432870,Charming and bright apartment in Copenhagen,35050575,Alåna,,Bispebjerg,55.70112,12.52539,Entire home/apt,450,4,5,2019-07-31,0.27,1,0
26434605,Penthouse Nørrebro,114011693,Birgitte,,Nrrebro,55.68664,12.54893,Entire home/apt,648,3,1,2018-08-06,0.05,2,0
26438881,Apartment in central Copenhagen,129735308,Magnus,,Indre By,55.68283,12.57854,Entire home/apt,901,2,45,2020-02-03,2.23,1,0
26440202,Charming and cozy Frederikberg w amazing view,17331027,Helle,,Frederiksberg,55.69347,12.53014,Entire home/apt,788,2,13,2019-10-08,0.68,1,5
26440577,70 m2 flat with private balcony in Copenhagen,105775618,Heidi,,Nrrebro,55.68924,12.54194,Entire home/apt,448,2,42,2020-01-01,2.08,1,89
26440763,"Nice bright 2-room apartment, quiet area",50902274,Sarah,,sterbro,55.71075,12.56717,Entire home/apt,450,2,11,2019-08-04,0.55,1,0
26441687,Stor skøn lejlighed ved Amar Strand,196509115,Gitte,,Amager st,55.66414,12.62941,Entire home/apt,1201,3,15,2019-09-22,0.78,1,0
26443179,Traditional apartment in Copenhagen,52564177,Julie,,Amager st,55.66259,12.62108,Entire home/apt,341,2,5,2020-01-09,0.35,2,0
26443378,Whole apartment near city center,55045575,Laila,,Vesterbro-Kongens Enghave,55.65892,12.53577,Entire home/apt,403,3,6,2019-03-19,0.30,3,0
26443749,Extravagant luxury-An authentic 280 sqm experience,198839407,Merete,,Indre By,55.68443,12.58231,Entire home/apt,3382,1,82,2020-02-22,4.07,1,113
26444733,Vesterbro at it's best! All you need in 5min walk!,91418716,Anja,,Vesterbro-Kongens Enghave,55.66721,12.54955,Entire home/apt,564,2,2,2019-07-08,0.10,1,358
