Parameter Distribution {'loss': ['deviance', 'exponential'], 'learning_rate': [0.1, 0.01, 0.001], 'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300], 'min_samples_leaf': [1, 2, 4], 'min_samples_split': [2, 5, 10]}
0.681851 (0.003481) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.003481, score rank of 52,
0.681851 (0.003481) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.003481, score rank of 52,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.706885 (0.002121) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002121, score rank of 16,
0.706982 (0.002881) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002881, score rank of 15,
0.665844 (0.004665) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.004665, score rank of 72,
0.682550 (0.000486) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.000486, score rank of 47,
0.000000 (0.000000) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.688972 (0.005433) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.005433, score rank of 41,
0.675060 (0.008455) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.008455, score rank of 63,
0.694669 (0.002501) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.002501, score rank of 35,
0.000000 (0.000000) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.706287 (0.002484) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.002484, score rank of 20,
0.665844 (0.004665) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.004665, score rank of 72,
0.694669 (0.002501) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.002501, score rank of 35,
0.665844 (0.004665) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.004665, score rank of 72,
0.697837 (0.002412) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002412, score rank of 29,
0.682550 (0.000486) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.000486, score rank of 47,
0.672728 (0.005177) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.005177, score rank of 68,
0.703393 (0.002169) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002169, score rank of 21,
0.675060 (0.008455) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.008455, score rank of 63,
0.708500 (0.002354) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002354, score rank of 2,
0.679909 (0.002126) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.002126, score rank of 57,
0.707603 (0.002359) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.002359, score rank of 9,
